"A00","Cholera"
"A000","Cholera durch Vibrio cholerae O:1, Biovar cholerae"
"A001","Cholera durch Vibrio cholerae O:1, Biovar eltor"
"A009","Cholera, nicht näher bezeichnet"
"A01","Typhus abdominalis und Paratyphus"
"A010","Typhus abdominalis"
"A011","Paratyphus A"
"A012","Paratyphus B"
"A013","Paratyphus C"
"A014","Paratyphus, nicht näher bezeichnet"
"A02","Sonstige Salmonelleninfektionen"
"A020","Salmonellenenteritis"
"A021","Salmonellensepsis"
"A022","Lokalisierte Salmonelleninfektionen"
"A028","Sonstige näher bezeichnete Salmonelleninfektionen"
"A029","Salmonelleninfektion, nicht näher bezeichnet"
"A03","Shigellose [Bakterielle Ruhr]"
"A030","Shigellose durch Shigella dysenteriae"
"A031","Shigellose durch Shigella flexneri"
"A032","Shigellose durch Shigella boydii"
"A033","Shigellose durch Shigella sonnei"
"A038","Sonstige Shigellosen"
"A039","Shigellose, nicht näher bezeichnet"
"A04","Sonstige bakterielle Darminfektionen"
"A040","Darminfektion durch enteropathogene Escherichia coli"
"A041","Darminfektion durch enterotoxinbildende Escherichia coli"
"A042","Darminfektion durch enteroinvasive Escherichia coli"
"A043","Darminfektion durch enterohämorrhagische Escherichia coli"
"A044","Sonstige Darminfektionen durch Escherichia coli"
"A045","Enteritis durch Campylobacter"
"A046","Enteritis durch Yersinia enterocolitica"
"A047","Enterokolitis durch Clostridium difficile"
"A0470","Enterokolitis durch Clostridium difficile ohne Megakolon, ohne sonstige Organkomplikationen"
"A0471","Enterokolitis durch Clostridium difficile ohne Megakolon, mit sonstigen Organkomplikationen"
"A0472","Enterokolitis durch Clostridium difficile mit Megakolon, ohne sonstige Organkomplikationen"
"A0473","Enterokolitis durch Clostridium difficile mit Megakolon, mit sonstigen Organkomplikationen"
"A0479","Enterokolitis durch Clostridium difficile, nicht näher bezeichnet"
"A048","Sonstige näher bezeichnete bakterielle Darminfektionen"
"A049","Bakterielle Darminfektion, nicht näher bezeichnet"
"A05","Sonstige bakteriell bedingte Lebensmittelvergiftungen, anderenorts nicht klassifiziert"
"A050","Lebensmittelvergiftung durch Staphylokokken"
"A051","Botulismus"
"A052","Lebensmittelvergiftung durch Clostridium perfringens [Clostridium welchii]"
"A053","Lebensmittelvergiftung durch Vibrio parahaemolyticus"
"A054","Lebensmittelvergiftung durch Bacillus cereus"
"A058","Sonstige näher bezeichnete bakteriell bedingte Lebensmittelvergiftungen"
"A059","Bakteriell bedingte Lebensmittelvergiftung, nicht näher bezeichnet"
"A06","Amöbiasis"
"A060","Akute Amöbenruhr"
"A061","Chronische intestinale Amöbiasis"
"A062","Nichtdysenterische Kolitis durch Amöben"
"A063","Amöbom des Darmes"
"A064","Leberabszess durch Amöben"
"A065","Lungenabszess durch Amöben"
"A066","Hirnabszess durch Amöben"
"A067","Amöbiasis der Haut"
"A068","Amöbeninfektion an sonstigen Lokalisationen"
"A069","Amöbiasis, nicht näher bezeichnet"
"A07","Sonstige Darmkrankheiten durch Protozoen"
"A070","Balantidiose"
"A071","Giardiasis [Lambliasis]"
"A072","Kryptosporidiose"
"A073","Isosporose"
"A078","Sonstige näher bezeichnete Darmkrankheiten durch Protozoen"
"A079","Darmkrankheit durch Protozoen, nicht näher bezeichnet"
"A08","Virusbedingte und sonstige näher bezeichnete Darminfektionen"
"A080","Enteritis durch Rotaviren"
"A081","Akute Gastroenteritis durch Norovirus"
"A082","Enteritis durch Adenoviren"
"A083","Enteritis durch sonstige Viren"
"A084","Virusbedingte Darminfektion, nicht näher bezeichnet"
"A085","Sonstige näher bezeichnete Darminfektionen"
"A09","Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis infektiösen und nicht näher bezeichneten Ursprungs"
"A090","Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis infektiösen Ursprungs"
"A099","Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis nicht näher bezeichneten Ursprungs"
"A15","Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert"
"A150","Lungentuberkulose, durch mikroskopische Untersuchung des Sputums gesichert, mit oder ohne Nachweis durch Kultur oder molekularbiologische Verfahren"
"A151","Lungentuberkulose, nur durch Kultur gesichert"
"A152","Lungentuberkulose, histologisch gesichert"
"A153","Lungentuberkulose, durch sonstige und nicht näher bezeichnete Untersuchungsverfahren gesichert"
"A154","Tuberkulose der intrathorakalen Lymphknoten, bakteriologisch, molekularbiologisch oder histologisch gesichert"
"A155","Tuberkulose des Larynx, der Trachea und der Bronchien, bakteriologisch, molekularbiologisch oder histologisch gesichert"
"A156","Tuberkulöse Pleuritis, bakteriologisch, molekularbiologisch oder histologisch gesichert"
"A157","Primäre Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert"
"A158","Sonstige Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert"
"A159","Nicht näher bezeichnete Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert"
"A16","Tuberkulose der Atmungsorgane, weder bakteriologisch, molekularbiologisch noch histologisch gesichert"
